Renda - desigualdade - coeficiente de Gini
Sigla,Código,Brasil,1976,1977,1978,1979,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1992,1993,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,
BR,0,Brasil,0.6227400483,0.6246476797,0.6039067846,0.5931208284,0.5842010444,0.5914559908,0.5959713695,0.5893833249,0.5976679184,0.5880449314,0.6005574483,0.6163717063,0.6355695347,0.613884134,0.5825224129,0.6044368897,0.6005066474,0.6020540795,0.6020918401,0.6001549682,0.5939739248,0.5957822708,0.5892865303,0.5830194775,0.5724592376,0.5695264143,0.5629742764,0.5559521953,0.5461822063,0.5425814754,0.5313893674,0.5297106543,0.5274967342,0.5179495071,
